Player,Id,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS36M,OFFR,OFFR36M,DEFR,DEFR36M,OFFDEFRATE,ASTPERD,BLKPF,RATE,RATETOT,FGA20P,MP10R,MP10A,MP20P
Daniel Gafford,gaffoda01,PF,22,CHI,31,11,12.4,1.9,2.8,0.69,0.0,0.0,,1.9,2.8,0.69,0.69,0.9,1.3,0.659,1.4,1.9,3.3,0.5,0.4,1.1,0.7,1.7,4.7,13.6,5.0,14.5,1.7,4.9,19.4,0.7,0.6,6.3,195.0,11.9,37.6,248.0,52.8
Daniel Gafford,gaffoda01,C,22,WAS,23,0,17.7,4.1,6.0,0.6809999999999999,0.0,0.0,,4.1,6.0,0.6809999999999999,0.6809999999999999,2.0,2.9,0.672,2.2,3.4,5.6,0.5,0.7,1.8,0.8,1.9,10.1,20.5,10.1,20.5,4.0,8.1,28.6,0.6,0.9,13.2,304.0,11.9,31.6,354.0,35.0
Danilo Gallinari,gallida01,PF,32,ATL,51,4,24.0,4.0,9.3,0.434,2.0,5.0,0.406,2.0,4.3,0.466,0.542,3.2,3.4,0.925,0.3,3.8,4.1,1.5,0.6,0.2,0.8,2.1,13.3,20.0,9.0,13.5,2.5,3.8,17.3,1.9,0.1,11.3,576.0,14.0,58.5,160.0,36.1
Langston Galloway,gallola01,SG,29,PHO,40,0,11.0,1.7,3.7,0.449,0.9,2.1,0.424,0.8,1.6,0.484,0.5710000000000001,0.6,0.6,0.9570000000000001,0.2,0.9,1.1,0.7,0.2,0.0,0.3,0.6,4.8,15.7,3.4,11.1,0.5,1.6,12.7,2.3,0.0,3.9,156.0,15.4,100.0,157.1,45.8
Darius Garland,garlada01,PG,21,CLE,54,50,33.1,6.7,14.9,0.451,1.9,4.9,0.395,4.8,9.9,0.479,0.517,2.1,2.4,0.848,0.4,2.0,2.4,6.1,1.2,0.1,3.0,2.0,17.4,18.9,12.7,13.8,1.3,1.4,15.2,2.0,0.0,13.7,740.0,17.1,137.9,54.3,38.0
Marc Gasol,gasolma01,C,36,LAL,52,42,19.1,1.7,3.7,0.45399999999999996,1.0,2.3,0.41,0.7,1.4,0.528,0.5820000000000001,0.7,1.0,0.72,0.7,3.4,4.1,2.1,0.5,1.1,1.0,2.2,5.0,9.4,4.8,9.0,2.8,5.3,14.3,2.1,0.5,7.3,380.0,14.8,46.6,91.0,76.4
Rudy Gay,gayru01,PF,34,SAS,63,1,21.6,4.2,10.0,0.42,1.7,4.4,0.381,2.5,5.6,0.451,0.505,1.3,1.6,0.804,0.7,4.1,4.8,1.4,0.7,0.6,1.0,1.8,11.4,19.0,6.7,11.2,3.6,6.0,17.2,1.4,0.3,10.0,630.0,17.5,45.0,154.3,37.9
Paul George,georgpa01,SF,30,LAC,54,54,33.7,8.2,17.6,0.467,3.2,7.7,0.41100000000000003,5.1,9.9,0.51,0.557,3.7,4.2,0.868,0.8,5.8,6.6,5.2,1.1,0.4,3.3,2.4,23.3,24.9,16.6,17.7,4.9,5.2,22.9,1.6,0.2,21.0,1134.0,15.1,51.1,64.8,28.9
Taj Gibson,gibsota01,PF,35,NYK,45,3,20.8,2.2,3.5,0.627,0.1,0.3,0.2,2.1,3.2,0.6709999999999999,0.636,0.9,1.2,0.727,2.2,3.4,5.6,0.8,0.7,1.1,0.5,2.2,5.4,9.3,6.6,11.4,3.0,5.2,16.6,1.6,0.5,9.3,419.0,13.0,37.1,260.0,77.0
Harry Giles,gilesha01,C,22,POR,38,0,9.2,1.1,2.6,0.433,0.2,0.6,0.348,0.9,1.9,0.45899999999999996,0.474,0.4,0.7,0.593,0.8,2.7,3.5,0.8,0.2,0.3,0.5,1.4,2.8,11.0,2.4,9.4,1.8,7.0,16.4,1.6,0.2,3.9,148.0,18.6,26.3,115.0,65.7
Shai Gilgeous-Alexander,gilgesh01,SG,22,OKC,35,35,33.7,8.2,16.1,0.508,2.0,4.9,0.418,6.2,11.3,0.547,0.5710000000000001,5.3,6.5,0.8079999999999999,0.5,4.2,4.7,5.9,0.8,0.7,3.0,2.0,23.7,25.3,19.2,20.5,3.7,4.0,24.5,2.0,0.4,21.7,760.0,13.6,71.7,57.1,28.4
Anthony Gill,gillan01,PF,28,WAS,26,4,8.4,1.2,2.3,0.5,0.3,0.9,0.292,0.9,1.4,0.639,0.5579999999999999,0.5,0.6,0.813,0.6,1.3,2.0,0.4,0.4,0.2,0.3,1.0,3.1,13.3,2.7,11.6,0.9,3.9,15.5,1.3,0.2,3.6,94.0,14.8,42.0,210.0,54.2
Freddie Gillespie,gillefr01,PF,23,TOR,20,2,19.6,2.2,4.2,0.524,0.0,0.0,,2.2,4.2,0.524,0.524,1.2,1.7,0.6970000000000001,2.1,2.8,4.9,0.5,0.7,1.0,0.6,2.2,5.6,10.3,5.6,10.3,2.3,4.2,14.5,0.8,0.5,7.4,148.0,15.0,40.0,392.0,70.0
